Nombre	tipo	Xmin	Xmax	Ymin	Ymax	Zmin	Zmax	Rmin	Rmax	THETAmin	THETAmax
C25-PLM-2-1-49	cartesianas	25700	33700	25500	29750	-6900	-600	0	0	0	0
C25-PLM-2-1-51	cartesianas	-8400	-100	25500	27500	-5800	-200	0	0	0	0
C25-PLM-2-1-EP12	cartesianas	11380	15680	-9000	-6000	-2520	-300	0	0	0	0
C25-PLM-2-1-EP14	cartesianas	15880	20180	-9000	-6000	-2600	-300	0	0	0	0
C25-PLM-2-1-EP18	cartesianas	20380	26070	-9000	-6000	-2600	-300	0	0	0	0
C25-PLM-2-2-01	cartesianas	21885	24885	1400	4600	0	4000	0	0	0	0
C25-PLM-2-2-02	cartesianas	-17100	-13860	-8000	-3675	0	5050	0	0	0	0
C25-PLM-2-2-03	cartesianas	-17100	-13860	3675	8000	0	5050	0	0	0	0
C25-PLM-2-2-04-CO	cartesianas	-13560	10700	-14200	14200	80	4900	0	0	0	0
C25-PLM-2-2-04-E	cartesianas	10700	34050	-14200	-6000	80	4900	0	0	0	0
C25-PLM-2-2-04-N1	cartesianas	26285	34050	-6000	10700	80	4900	0	0	0	0
C25-PLM-2-2-04-N2	cartesianas	34050	37795	-3475	3475	80	4900	0	0	0	0
C25-PLM-2-2-04-O1	cartesianas	10700	34050	10700	14200	80	4900	0	0	0	0
C25-PLM-2-2-04-O2	cartesianas	10700	10880	6000	10700	80	4900	0	0	0	0
C25-PLM-2-2-05	cartesianas	-17000	-11304	-20840	-14500	0	5050	0	0	0	0
C25-PLM-2-2-06	cartesianas	17150	36750	-25200	-14500	0	4900	0	0	0	0
C25-PLM-2-2-07	cartesianas	11380	26020	6000	10200	0	4700	0	0	0	0
C25-PLM-2-2-08	cartesianas	10700	17225	-4600	4600	0	4000	0	0	0	0
C25-PLM-2-2-09	cartesianas	-17000	-11304	-25300	-21040	0	5050	0	0	0	0
C25-PLM-2-2-10	cartesianas	17625	24885	-4600	4600	0	4000	0	0	0	0
C25-PLM-2-2-12	cartesianas	34350	37894.039	-8670	-3775	0	5000	0	0	0	0
C25-PLM-2-2-13	cartesianas	34350	37894.371	3775	6555	0	5000	0	0	0	0
C25-PLM-2-2-15_a	cartesianas	-17100	-13860	10900	14300	0	5050	0	0	0	0
C25-PLM-2-2-15_b	cartesianas	-17100	-13860	10900	14300	5050	9700	0	0	0	0
C25-PLM-2-2-15_c	cartesianas	-17295.006	-13860	10900	14300	9700	14900	0	0	0	0
C25-PLM-2-2-15_d	cartesianas	-17294.045	-13860	10900	14300	14900	20850	0	0	0	0
C25-PLM-2-3-02	cartesianas	-17100	-13860	-8000	-3675	5200	9850	0	0	0	0
C25-PLM-2-3-03	cartesianas	-17100	-13860	3675	8000	5200	9850	0	0	0	0
C25-PLM-2-3-04-CO	cartesianas	-13560	10700	-14200	14200	5200	9700	0	0	0	0
C25-PLM-2-3-04-E1	cartesianas	10700	34050	-14200	-6000	5400	9700	0	0	0	0
C25-PLM-2-3-04-N1	cartesianas	30280	34050	-6000	10700	5200	9700	0	0	0	0
C25-PLM-2-3-04-N2	cartesianas	34050	37795	-3475	3475	5200	9700	0	0	0	0
C25-PLM-2-3-04-O1	cartesianas	10700	10876	6000	14200	5200	9700	0	0	0	0
C25-PLM-2-3-04-O2	cartesianas	10876	34050	10700	14200	5200	9700	0	0	0	0
C25-PLM-2-3-05	cartesianas	11176	13576	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-06	cartesianas	17150	36750	14500	27500	5200	9800	0	0	0	0
C25-PLM-2-3-07	cartesianas	13776	16326	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-08	cartesianas	17150	36750	-25200	-14500	5200	9700	0	0	0	0
C25-PLM-2-3-09	cartesianas	16526	19076	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-10	cartesianas	34350	37894.371	3775	6555	5200	9700	0	0	0	0
C25-PLM-2-3-11	cartesianas	19276	21826	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-12	cartesianas	34350	37894.039	-8670	-3775	5200	9700	0	0	0	0
C25-PLM-2-3-13	cartesianas	22026	24576	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-14	cartesianas	10700	19280	-4600	4600	5400	15280	0	0	0	0
C25-PLM-2-3-15	cartesianas	24776	27176	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-16	cartesianas	20280	25270	-4600	4600	5400	15280	0	0	0	0
C25-PLM-2-3-17	cartesianas	27376	29976	6000	10400	5200	9300	0	0	0	0
C25-PLM-2-3-18	cartesianas	26270	28880	2000	4600	5400	15280	0	0	0	0
C25-PLM-2-3-20	cartesianas	26270	28880	-4600	1200	5400	15280	0	0	0	0
C25-PLM-2-3-22	cartesianas	-17000	-13002	-18515	-14500	5200	9700	0	0	0	0
C25-PLM-2-3-24	cartesianas	-12949	-11302	-17080	-14500	5200	9700	0	0	0	0
C25-PLM-2-4-01-CO	cartesianas	-13560	10700	-14200	14200	10000	14900	0	0	0	0
C25-PLM-2-4-01-E1	cartesianas	10700	34050	-14200	-6000	10000	14900	0	0	0	0
C25-PLM-2-4-01-N1	cartesianas	30280	34050	-6000	10700	10000	14900	0	0	0	0
C25-PLM-2-4-01-N2	cartesianas	34050	37795	-3475	3475	10000	15050	0	0	0	0
C25-PLM-2-4-01-O1	cartesianas	10700	34050	10700	14200	10000	14900	0	0	0	0
C25-PLM-2-4-02	cartesianas	8600	16850	-27650	-14500	10000	14900	0	0	0	0
C25-PLM-2-4-03	cartesianas	34350	37894.371	3775	6555	10000	15050	0	0	0	0
C25-PLM-2-4-04	cartesianas	17150	25350	-25200	-14500	10000	14900	0	0	0	0
C25-PLM-2-4-05	cartesianas	17150	36750	14500	27500	10000	14900	0	0	0	0
C25-PLM-2-4-06	cartesianas	25650	36750	-25200	-14500	10000	14900	0	0	0	0
C25-PLM-2-4-07	cartesianas	11175	13375	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-4-09	cartesianas	13775	16025	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-4-10	cartesianas	-17927.111	-13860	3675	8000	10000	15050	0	0	0	0
C25-PLM-2-4-11	cartesianas	16525	18775	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-4-12	cartesianas	-17927.111	-13860	-8000	-3675	10000	15050	0	0	0	0
C25-PLM-2-4-13	cartesianas	19275	21525	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-4-14	cartesianas	34350	37894.039	-8675	-3775	10000	15050	0	0	0	0
C25-PLM-2-4-15	cartesianas	22025	24275	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-4-17	cartesianas	24775	26980	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-4-19	cartesianas	27380	29580	6000	10000	10000	14500	0	0	0	0
C25-PLM-2-5-01	cartesianas	-13560	34050	-14200	14200	14700	28000	0	0	0	0
C25-PLM-2-5-02	cartesianas	34350	37894.039	-8670	-3775	15200	20850	0	0	0	0
C25-PLM-2-5-03	cartesianas	34350	37894.371	3775	6555	15200	20850	0	0	0	0
C25-PLM-2-5-04	cartesianas	-17923.805	-13860	-8000	-3675	15200	20850	0	0	0	0
C25-PLM-2-5-05	cartesianas	-17924.105	-13860	3675	8000	15200	20850	0	0	0	0
C25-PLM-2-5-06	cartesianas	34350	37795	-3475	3475	15200	20700	0	0	0	0
C25-PLM-2-5-07	cartesianas	-13560	-3560	-14200	-6790	15200	21120	0	0	0	0
C25-PLM-2-5-09	cartesianas	11075	13575	9500	11300	15200	16700	0	0	0	0
C25-PLM-2-5-11	cartesianas	13775	16325	9500	11300	15200	16700	0	0	0	0
C25-PLM-2-5-13	cartesianas	19280	21830	9500	11300	15200	16700	0	0	0	0
C25-PLM-2-5-15	cartesianas	22030	24580	9500	11300	15200	16700	0	0	0	0
C25-PLM-2-5-17	cartesianas	24780	27330	9500	11300	15200	16700	0	0	0	0
C25-PLM-2-5-19	cartesianas	27530	30080	9500	11300	15200	16700	0	0	0	0
C25-PLM-4-1-01	cartesianas	-36067	-28109.5	-14200	-10385	-6700	-150	0	0	0	0
C25-PLM-4-1-04	cartesianas	-45265.117	-38765	-17200	-14450	-5800	14550	0	0	0	0
C25-PLM-4-1-06	cartesianas	-32965	-24953	6285	14200	-6700	-150	0	0	0	0
C25-PLM-4-1-07	cartesianas	-28068	-19938	-1247	2876	-5800	-150	0	0	0	0
C25-PLM-4-1-08	cartesianas	-27954.5	-23244.5	-14200	-6287.5	-6700	-150	0	0	0	0
C25-PLM-4-1-09	cartesianas	-36065	-33115	4525	14200	-6700	-150	0	0	0	0
C25-PLM-4-1-10	cartesianas	-36065	-29852.5	-2790	4525	-6700	-150	0	0	0	0
C25-PLM-4-1-11	cartesianas	-36065	-28104.5	-10235	-6425	-6700	-150	0	0	0	0
C25-PLM-4-1-12	cartesianas	-35800	-17300	-17200	-14450	-6700	-500	0	0	0	0
C25-PLM-4-1-14	cartesianas	-41652.5	-39652.5	1350	3352.5	-5800	-300	0	0	0	0
C25-PLM-4-2-01	cartesianas	-23922.5	-19937.5	5677.5	14200	0	5050	0	0	0	0
C25-PLM-4-2-02	cartesianas	-22842	-19937.5	5677.5	9210	0	5050	0	0	0	0
C25-PLM-4-2-03	cartesianas	-23922.5	-19937.5	-9210	-5677.5	0	5050	0	0	0	0
C25-PLM-4-2-04_a	cartesianas	-23861.5	-19937.5	-14200	-9370	0	5050	0	0	0	0
C25-PLM-4-2-04_b	cartesianas	-23922.5	-22960	-9370	-5525	0	5050	0	0	0	0
C25-PLM-4-2-05	cartesianas	-36065	-24077.5	5675	14200	0	5050	0	0	0	0
C25-PLM-4-2-06	cartesianas	-34870.375	-21131.818	-5525	5525	0	5050	0	0	0	0
C25-PLM-4-2-07	cartesianas	-27925	-24077.5	-14200	-5675	0	5050	0	0	0	0
C25-PLM-4-2-08	cartesianas	-31925	-28075	-14200	-5675	0	5050	0	0	0	0
C25-PLM-4-2-09	cartesianas	-36065	-32075	-14200	-5675	0	5050	0	0	0	0
C25-PLM-4-2-10	cartesianas	-46401	-34401.203	-9075	9215	0	5050	0	0	0	0
C25-PLM-4-2-11	cartesianas	-40690	-36100	19357.5	23167	0	5050	0	0	0	0
C25-PLM-4-2-12	cartesianas	-40690	-38535	17450	19357.5	0	5050	0	0	0	0
C25-PLM-4-2-13	cartesianas	-44250	-38915	-14200	-8535	0	5200	0	0	0	0
C25-PLM-4-2-14	cartesianas	-44250	-38635	8535	14200	0	5050	0	0	0	0
C25-PLM-4-2-16	cartesianas	-40690	-36100	-23165	-17450	0	5050	0	0	0	0
C25-PLM-4-2-17	cartesianas	-38485	-36215	9365	17450	0	5050	0	0	0	0
C25-PLM-4-2-18	cartesianas	-46408.355	-39502.102	-4450	4450	0	9850	0	0	0	0
C25-PLM-4-2-19	cartesianas	-38765	-36215	-17450	-9185	0	5050	0	0	0	0
C25-PLM-4-3-01	cartesianas	-23925	-19911.5	9280	14200	5200	9850	0	0	0	0
C25-PLM-4-3-02	cartesianas	-23925	-19911.5	5675	9120	5200	9850	0	0	0	0
C25-PLM-4-3-03	cartesianas	-23942	-19931.5	-9150	-5675	5200	9850	0	0	0	0
C25-PLM-4-3-04	cartesianas	-23866.5	-19931.5	-14200	-9310	5200	9850	0	0	0	0
C25-PLM-4-3-05	cartesianas	-36065	-24075	5675	14200	5200	9850	0	0	0	0
C25-PLM-4-3-06	cartesianas	-34668.324	-21331.717	-5525	5525	5200	9850	0	0	0	0
C25-PLM-4-3-07	cartesianas	-27925	-24077.5	-14200	-5675	5200	9850	0	0	0	0
C25-PLM-4-3-08	cartesianas	-31925	-28075	-8700	-5675	5200	9850	0	0	0	0
C25-PLM-4-3-09	cartesianas	-31925	-28075	-14200	-8700	5200	9850	0	0	0	0
